Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
03.01.2025;00:03:05;7,7;7,6;0;39,1;39,3;0,0;18,0;100;0;0,0;16;60,6;60,6;40,0;0;8200;50,1;44,3;35,0;0;149,9;8,0;8,0;0,00;0,00;0;20;52,6;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;39,1;60,6;0;0;0;282;1;0;0;0;0;
03.01.2025;00:04:05;7,7;7,6;0;39,0;39,3;0,0;18,0;100;0;0,0;16;60,2;60,2;40,0;0;8200;49,8;44,3;35,0;0;144,1;8,0;8,0;0,00;0,00;0;20;52,6;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;39,0;60,2;0;0;0;282;1;0;0;0;0;
03.01.2025;00:05:05;7,7;7,6;0;39,0;39,3;0,0;18,0;100;0;0,0;16;59,8;59,8;40,0;0;8200;49,5;44,3;35,0;0;138,6;8,0;8,0;0,00;0,00;0;20;52,7;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;39,0;59,8;0;0;0;282;1;0;0;0;0;
03.01.2025;00:06:05;7,7;7,6;0;38,9;39,3;0,0;18,0;100;0;0,0;16;59,6;59,6;40,0;0;8200;49,2;44,3;35,0;0;133,6;8,0;8,0;0,00;0,00;0;20;52,6;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,9;59,6;0;0;0;282;1;0;0;0;0;
03.01.2025;00:07:05;7,7;7,6;0;38,8;39,3;0,0;18,0;100;0;0,0;16;59,6;59,6;40,0;0;8200;49,0;44,3;35,0;0;129,0;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,8;59,6;0;0;0;282;1;0;0;0;0;
03.01.2025;00:08:05;7,7;7,6;0;38,7;39,3;0,0;18,0;100;0;0,0;16;59,5;59,5;40,0;0;8200;48,8;44,3;35,0;0;124,7;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,7;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:09:05;7,7;7,6;0;38,6;39,3;0,0;18,0;100;0;0,0;16;59,5;59,5;40,0;0;8200;48,6;44,3;35,0;0;120,9;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,6;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:10:05;7,7;7,6;0;38,5;39,3;0,0;18,0;100;0;0,0;16;59,5;59,5;40,0;0;8200;48,4;44,3;35,0;0;117,3;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,5;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:11:05;7,7;7,6;0;38,4;39,3;0,0;18,0;100;0;0,0;16;59,5;59,5;40,0;0;8200;48,3;44,3;35,0;0;113,9;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,4;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:12:05;7,7;7,6;0;38,4;39,3;0,0;18,0;100;0;0,0;16;59,5;59,5;40,0;0;8200;48,1;44,3;35,0;0;110,9;8,0;8,0;0,00;0,00;0;20;52,5;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,4;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:13:05;7,7;7,6;0;38,3;39,3;0,0;18,0;100;1;0,0;16;59,5;59,5;40,0;0;8200;47,9;44,3;35,0;0;107,9;8,0;8,0;0,00;0,00;0;20;52,4;110,0;1589;29;5;0;0;0;0;0;1;0;0;0;0;0;38,3;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:14:05;7,7;7,6;0;38,2;39,3;0,0;18,0;100;1;0,0;16;59,5;59,5;40,0;0;8200;47,8;44,3;35,0;0;105,3;8,0;8,0;0,00;0,00;0;0;50,1;110,0;1589;29;99;0;0;0;0;0;1;0;0;0;0;0;38,2;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:15:05;7,7;7,6;0;38,3;39,3;0,0;18,0;100;1;0,0;16;59,5;59,5;40,0;0;8200;47,6;44,3;35,0;0;104,1;8,0;8,0;0,00;0,00;0;0;49,9;110,0;1589;29;99;0;0;0;0;0;1;0;0;0;0;0;38,3;59,5;0;0;0;282;1;0;0;0;0;
03.01.2025;00:16:05;7,7;7,6;0;38,3;39,3;0,0;18,0;100;0;0,0;16;59,4;59,4;40,0;0;8200;47,4;44,3;35,0;0;103,0;8,0;8,0;0,00;0,00;0;0;49,9;110,0;1589;29;99;0;0;0;0;0;1;0;0;0;0;0;38,3;59,4;0;0;0;282;1;0;0;0;0;
