Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
10.01.2025;00:03:05;6,0;5,9;0;40,7;42,1;0,0;18,0;100;1;0,0;16;61,4;61,4;40,0;0;8200;41,4;47,1;35,0;0;62,1;120,0;120,0;0,00;0,00;0;70;120,7;120,0;1477;30;2;0;0;0;0;1;1;0;0;0;0;0;40,7;61,4;1;0;0;284;1;0;0;0;0;
10.01.2025;00:04:05;6,0;5,9;0;40,3;42,1;0,0;18,0;100;1;0,0;16;61,4;61,4;40,0;0;8200;41,0;47,1;35,0;0;93,3;120,0;120,0;0,00;0,00;0;70;120,0;120,0;1477;30;2;0;0;0;0;1;1;0;0;0;0;0;40,3;61,4;1;0;0;284;1;0;0;0;0;
10.01.2025;00:05:05;6,0;5,9;0;40,5;42,1;0,0;18,0;100;1;0,0;16;61,4;61,4;40,0;0;8200;40,6;47,1;35,0;0;162,5;120,0;120,0;0,00;0,00;0;72;119,4;120,0;1477;30;3;0;0;0;0;0;1;0;0;0;0;0;40,5;61,4;1;0;0;284;1;0;0;0;0;
10.01.2025;00:06:05;6,0;5,9;0;40,7;42,1;0,0;18,0;100;1;0,0;16;61,4;61,4;40,0;0;8200;40,4;47,1;35,0;0;216,5;120,0;120,0;0,00;0,00;0;71;121,7;120,0;1477;30;3;0;0;0;0;0;1;0;0;0;0;0;40,7;61,4;1;0;0;284;1;0;0;0;0;
10.01.2025;00:07:05;6,0;5,9;0;40,6;42,1;0,0;18,0;100;1;0,0;16;61,3;61,3;40,0;0;8200;40,3;47,1;35,0;0;235,0;120,0;120,0;0,00;0,00;0;71;121,4;120,0;1477;30;3;0;0;0;0;0;1;0;0;0;0;0;40,6;61,3;1;0;0;284;1;0;0;0;0;
10.01.2025;00:08:05;5,9;5,9;0;40,4;42,2;0,0;18,0;100;1;0,0;16;61,3;61,3;40,0;0;8200;40,3;47,2;35,0;78;232,2;279,8;820,0;33,30;80,00;0;59;92,7;90,0;1477;30;4;0;0;0;0;0;1;0;0;0;0;0;40,4;61,3;1;0;0;284;1;0;0;0;0;
10.01.2025;00:09:05;5,9;5,9;0;40,4;42,2;0,0;18,0;100;1;0,0;16;61,2;61,2;40,0;0;8200;40,3;47,2;35,0;78;277,4;363,4;820,0;35,99;80,00;0;58;90,8;90,0;1477;30;4;0;0;0;0;0;1;0;0;0;0;0;40,4;61,2;1;0;0;284;1;0;0;0;0;
10.01.2025;00:10:05;5,9;5,9;0;41,0;42,2;0,0;18,0;100;1;0,0;16;61,2;61,2;40,0;0;8200;40,3;47,2;35,0;78;358,4;433,0;820,0;36,79;80,00;0;60;90,1;90,0;1477;30;4;1;0;0;0;0;1;0;0;0;0;0;41,0;61,2;1;0;0;284;1;0;0;0;0;
10.01.2025;00:11:05;5,9;5,9;0;41,8;42,2;0,0;18,0;100;1;0,0;16;61,2;61,2;40,0;0;8200;40,4;47,2;35,0;78;440,1;491,9;820,0;36,83;80,00;0;60;90,8;90,0;1477;29;4;1;0;0;0;0;1;0;0;0;0;0;41,8;61,2;1;0;0;283;1;0;0;0;0;
10.01.2025;00:12:05;5,9;5,9;0;42,3;42,2;0,0;18,0;100;0;0,0;16;61,1;61,1;40,0;0;8200;40,6;47,2;35,0;82;479,7;542,7;830,0;43,12;80,00;0;61;90,5;92,0;1477;29;4;0;0;0;0;0;1;0;0;0;0;0;42,3;61,1;1;0;0;283;1;0;0;0;0;
