Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
08.01.2025;00:03:05;8,0;8,1;0;38,7;39,5;0,0;18,0;100;0;0,0;16;60,5;60,5;40,0;0;8200;39,8;44,5;35,0;70;230,2;337,1;800,0;31,82;80,00;0;55;84,3;84,0;1507;30;4;0;0;0;0;0;1;1;0;0;0;0;38,7;60,5;1;0;0;287;1;0;0;0;0;
08.01.2025;00:04:05;8,0;8,0;0;38,8;39,5;0,0;18,0;100;0;0,0;16;60,5;60,5;40,0;0;8200;39,8;44,5;35,0;70;284,3;408,7;800,0;34,45;80,00;0;57;83,7;84,0;1507;30;4;0;0;1;0;0;1;1;0;0;0;0;38,8;60,5;1;0;0;287;0;0;0;0;0;
08.01.2025;00:05:05;8,0;8,1;0;39,2;39,5;0,0;18,0;100;0;0,0;16;60,4;60,4;40,0;0;8200;39,8;44,5;35,0;70;364,3;468,8;800,0;35,37;80,00;0;57;85,2;84,0;1507;30;4;1;0;0;0;0;1;1;0;0;0;0;39,2;60,4;1;0;0;287;1;0;0;0;0;
08.01.2025;00:06:05;8,0;8,1;0;39,7;39,5;0,0;18,0;100;0;0,0;16;60,4;60,4;40,0;0;8200;40,0;44,5;35,0;66;416,0;519,2;790,0;34,36;80,00;0;56;83,9;82,0;1507;30;4;1;0;0;0;0;1;1;0;0;0;0;39,7;60,4;1;0;0;287;1;0;0;0;0;
08.01.2025;00:07:05;8,0;8,1;0;40,0;39,5;0,0;18,0;100;0;0,0;16;60,3;60,3;40,0;0;8200;40,2;44,5;35,0;66;449,4;561,2;790,0;36,40;80,00;0;56;82,6;82,0;1507;30;4;0;0;0;0;0;1;1;0;0;0;0;40,0;60,3;1;0;0;286;1;0;0;0;0;
08.01.2025;00:08:05;8,0;8,1;0;40,2;39,5;0,0;18,0;100;0;0,0;16;60,3;60,3;40,0;0;8200;40,5;44,5;35,0;66;479,4;596,0;790,0;38,34;80,00;0;56;82,5;82,0;1507;30;4;0;0;0;0;0;1;0;0;0;0;0;40,2;60,3;1;0;0;286;1;0;0;0;0;
08.01.2025;00:09:05;8,0;8,1;0;40,4;39,5;0,0;18,0;100;0;0,0;16;60,3;60,3;40,0;0;8200;40,8;44,5;35,0;66;496,5;626,3;790,0;40,82;80,00;0;57;82,4;82,0;1507;30;4;0;0;1;0;0;1;0;0;0;0;0;40,4;60,3;0;0;0;286;0;0;0;0;0;
08.01.2025;00:10:05;8,0;8,1;0;40,7;39,5;0,0;18,0;100;-1;0,0;16;60,3;60,3;40,0;0;8200;41,1;44,5;35,0;62;530,5;650,4;780,0;39,86;80,00;0;55;80,6;79,0;1507;30;4;0;0;0;0;0;1;0;0;0;0;0;40,7;60,3;1;0;0;285;1;0;0;0;0;
08.01.2025;00:11:05;8,0;8,0;0;40,6;39,5;0,0;18,0;100;-1;0,0;16;60,2;60,2;40,0;0;8200;41,4;44,5;35,0;66;554,9;670,8;790,0;43,97;80,00;0;57;81,9;82,0;1507;30;4;0;0;0;0;0;1;0;0;0;0;0;40,6;60,2;1;0;0;285;1;0;0;0;0;
08.01.2025;00:12:05;8,0;8,1;0;40,4;39,5;0,0;18,0;100;-1;0,0;16;60,2;60,2;40,0;0;8200;41,8;44,5;35,0;66;563,5;689,2;790,0;46,28;80,00;0;58;81,9;82,0;1507;30;4;1;0;0;0;0;1;0;0;0;0;0;40,4;60,2;1;0;0;284;1;0;0;0;0;
