Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
13.06.2025;00:03:48;19,4;19,4;0;24,2;8,0;0,0;8,0;0;0;0,0;8;68,0;68,0;40,0;0;8200;62,1;8,0;35,0;0;49,0;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;68,0;0;0;0;300;1;0;0;0;0;
13.06.2025;00:04:48;19,4;19,4;0;24,2;8,0;0,0;8,0;0;0;0,0;8;68,0;68,0;40,0;0;8200;62,1;8,0;35,0;0;49,3;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;68,0;0;0;0;300;1;0;0;0;0;
13.06.2025;00:05:48;19,4;19,4;0;24,2;8,0;0,0;8,0;0;0;0,0;8;68,0;68,0;40,0;0;8200;62,1;8,0;35,0;0;49,5;8,0;8,0;0,00;0,00;0;0;51,8;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;68,0;0;0;0;300;1;0;0;0;0;
13.06.2025;00:06:48;19,4;19,4;0;24,2;8,0;0,0;8,0;0;0;0,0;8;68,0;68,0;40,0;0;8200;62,0;8,0;35,0;0;49,3;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;68,0;0;0;0;300;1;0;0;0;0;
13.06.2025;00:07:48;19,4;19,3;0;24,1;8,0;0,0;8,0;0;0;0,0;8;67,9;67,9;40,0;0;8200;62,0;8,0;35,0;0;48,5;8,0;8,0;0,00;0,00;0;0;51,7;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,1;67,9;0;0;0;300;1;0;0;0;0;
13.06.2025;00:08:48;19,4;19,3;0;24,1;8,0;0,0;8,0;0;0;0,0;8;67,9;67,9;40,0;0;8200;62,0;8,0;35,0;0;48,4;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,1;67,9;0;0;0;300;1;0;0;0;0;
13.06.2025;00:09:48;19,4;19,3;0;24,2;8,0;0,0;8,0;0;0;0,0;8;67,8;67,8;40,0;0;8200;61,9;8,0;35,0;0;48,8;8,0;8,0;0,00;0,00;0;0;52,3;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;67,8;0;0;0;300;1;0;0;0;0;
13.06.2025;00:10:48;19,4;19,3;0;24,2;8,0;0,0;8,0;0;0;0,0;8;67,8;67,8;40,0;0;8200;61,9;8,0;35,0;0;48,5;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;67,8;0;0;0;300;1;0;0;0;0;
13.06.2025;00:11:48;19,4;19,3;0;24,1;8,0;0,0;8,0;0;0;0,0;8;67,8;67,8;40,0;0;8200;61,9;8,0;35,0;0;48,4;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,1;67,8;0;0;0;300;1;0;0;0;0;
13.06.2025;00:12:48;19,4;19,3;0;24,2;8,0;0,0;8,0;0;0;0,0;8;67,8;67,8;40,0;0;8200;61,9;8,0;35,0;0;48,2;8,0;8,0;0,00;0,00;0;0;51,5;110,0;34;31;99;0;0;0;0;0;0;0;0;0;0;0;24,2;67,8;0;0;0;300;1;0;0;0;0;
